date,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-06-01,9.0,18.0,5.0,32.0,0.3333333333333333,0.84375,0.5567226890756303,0.9451115216201423
2022-05-30,6.0,18.0,5.0,29.0,0.25,0.8275862068965517,0.6519607843137255,0.9674329501915709
2022-05-29,11.0,6.0,1.0,18.0,0.6470588235294118,0.9444444444444444,0.6505322128851541,0.9814814814814815
2022-05-28,0.0,1.0,0.0,1.0,0.0,1.0,0.700952380952381,0.9894179894179894
2022-05-27,2.0,0.0,0.0,2.0,1.0,1.0,0.8438095238095239,0.9894179894179894
2022-05-26,2.0,1.0,0.0,3.0,0.6666666666666666,1.0,0.8438095238095239,0.9894179894179894
2022-05-25,3.0,0.0,0.0,3.0,1.0,1.0,0.8914285714285715,0.9894179894179894
2022-05-23,1.0,0.0,0.0,1.0,1.0,1.0,0.781038961038961,0.9775132275132276
2022-05-21,6.0,19.0,2.0,27.0,0.24,0.9259259259259259,0.781038961038961,0.9775132275132276
2022-05-20,1.0,0.0,0.0,1.0,1.0,1.0,0.8449675324675324,0.9796918767507002
2022-05-19,2.0,0.0,0.0,2.0,1.0,1.0,0.8449675324675324,0.9796918767507002
2022-05-18,3.0,0.0,0.0,3.0,1.0,1.0,0.8449675324675324,0.9796918767507002
2022-05-17,1.0,0.0,0.0,1.0,1.0,1.0,0.8449675324675324,0.9796918767507002
2022-05-16,5.0,17.0,2.0,24.0,0.22727272727272727,0.9166666666666666,0.8449675324675324,0.9796918767507004
2022-05-15,1.0,0.0,0.0,1.0,1.0,1.0,0.9553571428571429,0.9915966386554622
2022-05-14,11.0,5.0,1.0,17.0,0.6875,0.9411764705882353,0.9077380952380952,0.9915966386554621
2022-05-13,3.0,0.0,0.0,3.0,1.0,1.0,0.9523809523809524,1.0
2022-05-12,1.0,0.0,0.0,1.0,1.0,1.0,0.8392857142857143,0.989010989010989
2022-05-11,2.0,0.0,0.0,2.0,1.0,1.0,0.8392857142857143,0.989010989010989
2022-05-10,3.0,0.0,0.0,3.0,1.0,1.0,0.8392857142857143,0.989010989010989
2022-05-09,1.0,0.0,0.0,1.0,1.0,1.0,0.8392857142857143,0.989010989010989
2022-05-08,2.0,1.0,0.0,3.0,0.6666666666666666,1.0,0.8392857142857144,0.989010989010989
2022-05-07,3.0,0.0,0.0,3.0,1.0,1.0,0.886904761904762,0.989010989010989
2022-05-06,5.0,19.0,2.0,26.0,0.20833333333333334,0.9230769230769231,0.7726190476190476,0.9784289784289785
2022-05-05,2.0,0.0,0.0,2.0,1.0,1.0,0.7836734693877553,0.9677729677729678
2022-05-04,1.0,0.0,0.0,1.0,1.0,1.0,0.6436734693877552,0.9459812002184884
2022-05-03,2.0,0.0,0.0,2.0,1.0,1.0,0.6436734693877552,0.9459812002184884
2022-05-02,3.0,0.0,0.0,3.0,1.0,1.0,0.6436734693877552,0.9459812002184884
2022-05-01,1.0,0.0,0.0,1.0,1.0,1.0,0.5539724727100143,0.9284884888482259
2022-04-30,5.0,20.0,2.0,27.0,0.2,0.9259259259259259,0.5539724727100143,0.928488488848226
2022-04-29,8.0,20.0,5.0,33.0,0.2857142857142857,0.8484848484848485,0.5803460990836407,0.9200228803826175
2022-04-28,1.0,49.0,9.0,59.0,0.02,0.847457627118644,0.6823869154101713,0.9416679020276391
2022-04-27,3.0,0.0,0.0,3.0,1.0,1.0,0.8223869154101713,0.9634596695821186
2022-04-26,1.0,0.0,0.0,1.0,1.0,1.0,0.6890535820768379,0.9396501457725949
2022-04-24,16.0,27.0,6.0,49.0,0.37209302325581395,0.8775510204081632,0.5656769587002145,0.9277453838678328
2022-04-22,2.0,0.0,0.0,2.0,1.0,1.0,0.5689992178364272,0.9277453838678328
2022-04-21,5.0,8.0,2.0,15.0,0.38461538461538464,0.8666666666666667,0.46185636069357,0.9061003622228112
2022-04-20,1.0,0.0,0.0,1.0,1.0,1.0,0.44691130574851506,0.9145659706884197
2022-04-19,1.0,0.0,0.0,1.0,1.0,1.0,0.44691130574851506,0.9145659706884197
2022-04-18,3.0,42.0,9.0,54.0,0.06666666666666667,0.8333333333333334,0.350565790798349,0.8970732593181572
2022-04-17,3.0,19.0,2.0,24.0,0.13636363636363635,0.9166666666666666,0.4838991241316823,0.9208827831276809
2022-04-16,17.0,26.0,6.0,49.0,0.3953488372093023,0.8775510204081632,0.6072757475083057,0.9327875450324431
2022-04-15,7.0,21.0,5.0,33.0,0.25,0.8484848484848485,0.6936544850498338,0.9502802564027053
2022-04-13,7.0,18.0,2.0,27.0,0.28,0.9259259259259259,0.800797342192691,0.9719252780477269
